id,Screen,en,es,de,it,Arabic,fr
onboarding.superpower,Intro,Your writing superpower,Tu superpoder de escritura,Deine Schreib-Superkraft,Il tuo superpotere nella scrittura,قوتك الكتابية الخارقة,Votre superpuissance d'écriture
onboarding.learn,Intro,Learn a new language,Aprende un nuevo idioma,Lerne eine neue Sprache,Impara una nuova lingua,تعلم لغة جديدة,Apprendre une nouvelle langue
onboarding.writeBlog,Intro,Write a blog post,Escribe una entrada de blog,Schreibe einen Blogbeitrag,Scrivi un post sul blog,اكتب مقالة مدونة,Écrire un article de blog
onboarding.fixGrammar,Intro,Fix your grammar,Corrige tu gramática,Korrigiere deine Grammatik,Correggi la tua grammatica,صحح قواعدك,Corriger votre grammaire
onboarding.helpWithStudies,Intro,Help with vour studies + gazillion other use cases,Ayuda con tus estudios + un millón de otros casos de uso,Hilfe bei deinem Studium + unzählige andere Anwendungsfälle,Aiuto con i tuoi studi + un'infinità di altri casi d'uso,مساعدة في دراستك + عدد لا يحصى من حالات الاستخدام الأخرى,Aidez avec vos études + un milliard d'autres cas d'utilisation
onboarding.tryItOut,Intro,Try it out!,¡Pruébalo!,Probier es aus!,Provalo!,جربه!,Essayez-le!
onboarding.skip,Intro,Skip,Omitir,Überspringen,Salta,تخطى,Passer
feed.youHaveMessagesLeft,Feed,You have %@ free messages & %@ images left,Te quedan %@ mensajes gratuitos y %@ imágenes,Sie haben noch %@ kostenlose Nachrichten und %@ Bilder übrig,Ti rimangono %@ messaggi gratuiti e %@ immagini,باقي 10 رسائل مجانية,Il vous reste %@ messages gratuits et %@ images
feed.messagesLeft,Feed,%@ free messages,%@ mensajes gratuitos, %@ kostenlose Nachrichten,%@ messaggi gratuiti ,,%@ messages gratuits
feed.imagesLeft,Feed,%@ images,%@ imágenes,%@ Bilder,%@ immagini,,%@ images
feed.characters,Feed,Characters,Caracteres,Zeichen,Caratteri,شخصيات,Personnages
feed.explore,Feed,Explore,Explorar,Entdecken,Esplora,استكشف,Explorer
feed.letsStart,Feed,Let's start a chat!,Empecemos a chatear,Lass uns chatten,Iniziamo una chat,لنبدأ المحادثة,Commençons un chat
feed.startFreeTrial,Feed,Start free trial,Iniciar prueba gratuita,Kostenlose Testversion starten,Inizia la prova gratuit,,Commencer l'essai gratuit
history.history,History,History,Historial,Verlauf,Cronologia,التاريخ,Historique
history.clear,History,Clear history?,¿Borrar historial?,Verlauf löschen?,Cancellare la cronologia?,مسح التاريخ؟,Effacer l'historique ?
history.undo,History,You will not be able to undo this action,No podrás deshacer esta acción,Diese Aktion kann nicht rückgängig gemacht werden,Non sarai in grado di annullare questa azione,لن تتمكن من التراجع عن هذا الإجراء,Vous ne pourrez pas annuler cette action
history.no,History,No,No,Nein,No,لا,Non
history.yes,History,Yes,Sí,Ja,Sì,نعم,Oui
history.today,History,Today,Hoy,Heute,Oggi,,Aujourd'hui
history.yesterday,History,Yesterday,Ayer,Gestern,Ieri,,Hier
history.at,History,%@ at %@,%@ a las %@,%@ um %@,%@ alle %@,,%@ à %@
settings.settings,Settings,Settings,Ajustes,Einstellungen,Impostazioni,الإعدادات,Paramètres
settings.terms,Settings,Terms of use,Términos de uso,Nutzungsbedingungen,Termini di utilizzo,شروط الاستخدام,Conditions d'utilisation
settings.privacy,Settings,Privacy policy,Política de privacidad,Datenschutzrichtlinie,Politica sulla privacy,سياسة الخصوصية,Politique de confidentialité
settings.cancel,Settings,Cancel,Cancelar,Abbrechen,Annulla,إلغاء,Annuler
settings.contactUs,Settings,Contact us,Contáctanos,Kontaktiere uns,Contattaci,اتصل بنا,Contactez-nous
settings.ver,Settings,ver,ver,Version,ver,الإصدار 2.3,ver
settings.madeBy,Settings,made by programmers empowered by ChatGPT,hecho por programadores potenciados por ChatGPT,"Entwickelt von Programmierern, unterstützt durch ChatGPT",realizzato da programmatori potenziati da ChatGPT,صنع من قبل مبرمجين مدعومين بـ ChatGPT,réalisé par des programmeurs soutenus par ChatGPT
post.postedOn,Post,Posted on,Publicado en,Veröffentlicht am,Pubblicato il,نشر على,Publié le
payments.somethingWentWrong,Payments,Something went wrong,Algo salió mal,Etwas ist schiefgelaufen,Qualcosa è andato storto,حدث خطأ ما,Quelque chose s'est mal passé
payments.save20,Payments,Save 20%,Ahorra 20%,Spare 20%,Risparmia il 20%,وفر 20%,Économisez 20%
payments.failed,Payments,Transaction failed,Transacción fallida,Transaktion fehlgeschlagen,Transazione fallita,فشلت المعاملة,Échec de la transaction
payments.restored,Payments,Transactions restored,Transacciones restauradas,Transaktionen wiederhergestellt,Transazioni ripristinate,تم استعادة المعاملات,Transactions restaurées
payments.okay,Payments,Okay,De acuerdo,Okay,Okay,حسنًا,D'accord
payments.restorePurchase,Payments,Restore purchase,Restaurar compra,Kauf wiederherstellen,Ripristina acquisto,استعادة الشراء,Restaurer l'achat
payments.first3free,Payments,First 3 days free,Primeros 3 días gratis,Erste 3 Tage kostenlos,Primi 3 giorni gratuiti,أول 3 أيام مجانية,Premiers 3 jours gratuits
